id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_coleta
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999267,6557532971,29,6557532971,153809728,1.002,0.997624,-9.620919995923e-05,-0.00963,-49573372.475115776,-0.7503,6560127726.400147,6560127726.400147,0.0,1.034,-3.36749,2025-12-09T17:10:12.652Z,0.929486,7.50062,2024-10-04T07:57:15.809Z,0,2025-12-10T18:42:59.823Z,2025-12-10 15:43:42
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,85.22,6533103940,30,6533345379,450203950,86.83,83.87,-1.6097807196788096,-1.85395,-117927763.3064413,-1.77307,76610889.48347135,76613889.48347135,84000000.0,410.26,-79.21373,2021-05-10T03:13:07.904Z,1.15,7322.92726,2015-01-14T00:00:00.000Z,0,2025-12-10T18:43:02.331Z,2025-12-10 15:43:42
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,14.5,6210926170,31,6668973211,369058917,14.64,14.18,-0.11515108238575067,-0.78774,-66180007.55872345,-1.05431,429419963.7636146,461089080.1713083,720000000.0,144.96,-89.98837,2021-11-21T14:18:56.538Z,2.8,418.12392,2020-12-31T13:15:21.540Z,0,2025-12-10T18:42:57.636Z,2025-12-10 15:43:42
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.65,6175808313,32,16526703706,733131619,1.71,1.6,-0.05594674988321069,-3.27354,-211579964.09717464,-3.31246,3736866360.651109,10000000000.0,10000000000.0,5.35,-69.47778,2025-01-04T22:56:18.063Z,0.364846,347.28177,2023-10-19T10:40:30.078Z,0,2025-12-10T18:43:05.627Z,2025-12-10 15:43:42
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.137804,5857782781,33,6895353633,132558466,0.141805,0.135775,-0.004001153161132559,-2.82159,-163458190.83787155,-2.71469,42476304284.99751,50000000000.0,50000000000.0,0.569229,-75.74854,2021-09-15T10:40:28.318Z,0.00986111,1299.9067,2020-01-02T17:30:24.852Z,0,2025-12-10T18:43:00.775Z,2025-12-10 15:43:42
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,8.74e-06,5118977581,34,5121204007,133573132,8.89e-06,8.49e-06,-1.30717837346e-07,-1.47303,-113307878.93400192,-2.16555,589244312513523.1,589500595943388.9,0.0,8.616e-05,-89.8379,2021-10-28T03:54:55.568Z,5.6366e-11,15533164.75828,2020-11-28T11:26:25.838Z,0,2025-12-10T18:43:04.911Z,2025-12-10 15:43:42
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.99911,4657414105,35,4652222175,237566064,1.001,0.999384,-0.000846863527796948,-0.08469,-25746439.649318695,-0.54977,4661505471.586382,4656308980.506968,0.0,1.052,-4.90665,2025-01-23T22:34:53.341Z,0.975737,2.52947,2025-02-28T01:35:58.101Z,0,2025-12-10T18:43:06.929Z,2025-12-10 15:43:42
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999637,4342725971,37,4354701864,49982920,1.001,0.998328,-0.000201414936474076,-0.02014,4122584.0,0.09502,4344231103.629582,4356211147.481726,0.0,1.22,-17.91421,2020-03-13T03:02:50.373Z,0.88196,13.44833,2023-03-11T07:50:50.514Z,0,2025-12-10T18:42:59.192Z,2025-12-10 15:43:42
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.073,4333966758,36,4339904610,14636650,1.094,1.056,-0.000532238984435329,-0.0496,38843090.0,0.90435,4027050234.047674,4032567587.947483,0.0,1.11,-2.9113,2025-10-10T21:52:27.019Z,0.961716,11.56073,2025-01-04T01:21:08.460Z,0,2025-12-10T18:43:05.427Z,2025-12-10 15:43:42
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.154392,4207663889,38,15444480936,122825517,0.156509,0.150177,-0.002117289772717024,-1.35282,-55558555.4877553,-1.30321,27243802538.151154,100000000000.0,100000000000.0,0.331336,-53.81964,2025-09-01T12:20:09.597Z,0.104606,46.27507,2025-10-10T21:22:29.880Z,0,2025-12-10T18:43:07.097Z,2025-12-10 15:43:42
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.67,4085677226,39,8594072260,76180441,1.68,1.63,-0.00787199125898086,-0.47,-13387977.784193516,-0.32661,2447397866.638607,5148011688.323148,0.0,8.25,-79.80252,2024-06-15T00:36:51.509Z,0.519364,220.97366,2021-09-21T00:33:11.092Z,0,2025-12-10T18:43:06.142Z,2025-12-10 15:43:42
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.105151,3907798191,40,10274934741,15523362,0.10681,0.103891,-0.001658930894113411,-1.55317,-83839769.41379452,-2.10039,37356622642.68278,98223306581.86159,100000000000.0,0.965407,-89.11514,2021-11-24T15:53:54.855Z,0.0121196,767.05171,2019-02-08T00:00:00.000Z,0,2025-12-10T18:42:58.928Z,2025-12-10 15:43:42
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,1.0,3824173311,41,3824173311,95328693,1.0,0.99934,0.00036838,0.03685,-1291057.9038701057,-0.03375,3826484244.545921,3826484244.545921,0.0,1.021,-2.07453,2023-10-23T22:44:57.056Z,0.959426,4.18331,2024-12-05T22:31:13.430Z,0,2025-12-10T18:43:03.555Z,2025-12-10 15:43:42
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.16,3761583449,42,7191786492,181605251,1.19,1.11,0.00700302,0.60871,10538479.0,0.28095,3252944055.636841,6219316794.89,6219316794.89,2.86,-59.70154,2025-10-09T01:04:46.659Z,0.307978,273.58039,2023-10-18T02:50:46.942Z,0,2025-12-10T18:43:02.280Z,2025-12-10 15:43:42
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2.25,3684141433,43,3684141433,174651798,2.33,2.2,-0.0790026657889018,-3.38703,-164268148.70742464,-4.26847,1644008810.821539,1644026116.363602,0.0,54.98,-95.89531,2021-11-04T14:10:09.301Z,1.98,14.1134,2025-12-01T15:50:20.422Z,0,2025-12-10T18:43:04.022Z,2025-12-10 15:43:42
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.75,3603057491,44,5719998018,282204232,5.89,5.54,-0.14715171266028992,-2.49719,-112526264.55218697,-3.02849,629905374.0113912,1000000000.0,1000000000.0,44.92,-87.19387,2021-05-03T05:25:04.822Z,1.03,458.37958,2020-09-17T01:20:38.214Z,0,2025-12-10T18:43:06.393Z,2025-12-10 15:43:42
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.21,3552260472,45,3552260472,72554739,1.21,1.21,7.804e-05,0.00646,-23959937.09190178,-0.66998,2940352665.958393,2940352665.958393,0.0,1.29,-6.40588,2025-01-29T17:52:32.991Z,1.012,19.35791,2024-04-03T14:23:03.162Z,0,2025-12-10T18:42:59.735Z,2025-12-10 15:43:42
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,202.83,3071880314,46,3241219161,412577328,205.44,196.71,-1.7350833854049483,-0.84819,-32756572.30259657,-1.05509,15164073.325601235,16000000.0,16000000.0,661.69,-69.26918,2021-05-18T21:19:59.514Z,26.02,681.39206,2020-11-05T09:20:11.928Z,0,2025-12-10T18:42:56.194Z,2025-12-10 15:43:42
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,300.18,2893739965,47,6331710993,114991872,306.24,296.12,-4.627242757826366,-1.51806,-30676587.30309677,-1.04898,9597491.0,21000000.0,21000000.0,757.6,-60.69991,2024-03-07T18:45:36.466Z,30.83,865.74686,2023-05-14T08:57:53.732Z,0,2025-12-10T18:42:58.034Z,2025-12-10 15:43:42
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00811336,2746607058,48,9305850590,24152918,0.0081077,0.00635798,0.00013403,1.67978,36752731.0,1.35626,339407948748.1118,1149956871708.734,1150000000000.0,0.00823862,-2.28525,2025-11-24T18:21:22.424Z,0.00222126,262.42266,2025-09-14T08:56:57.416Z,0,2025-12-10T18:43:04.051Z,2025-12-10 15:43:42
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999661,2737653924,50,2737653924,334761366,0.999652,0.99867,0.00059485,0.05954,10422394.0,0.38216,2737609809.905086,2737609809.905086,0.0,1.025,-2.52666,2025-05-12T12:36:39.412Z,0.989633,0.93969,2025-10-01T08:51:32.103Z,0,2025-12-10T18:43:06.583Z,2025-12-10 15:43:42
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.074822,2687491129,51,2687491129,12539049,0.076801,0.07263,-0.000860895861983679,-1.13751,-31749889.598320007,-1.1676,35942310869.11526,35942310869.11526,0.0,0.159483,-53.34104,2025-11-10T09:46:17.203Z,0.059024,26.07242,2025-12-06T10:32:09.784Z,0,2025-12-10T18:42:58.370Z,2025-12-10 15:43:42
